auc,average_precision,brier,sensitivity,specificity,precision,f1,tn,fp,fn,tp,feature_set,n_features
0.9254297569650266,0.8462547164949028,0.08372294017451665,0.7142857142857143,0.950207468879668,0.8064516129032258,0.7575757575757576,229,12,20,50,Symptoms + Laboratory,15
0.9228215767634854,0.8351015271250691,0.081607735549319,0.7428571428571429,0.9377593360995851,0.7761194029850746,0.7591240875912408,226,15,18,52,Laboratory,10
0.913040901007706,0.8423957881239723,0.08910277643189134,0.7142857142857143,0.946058091286307,0.7936507936507936,0.7518796992481203,228,13,20,50,All variables,36
0.6377296976882039,0.28693024244156534,0.22406151078499256,0.6571428571428571,0.6597510373443983,0.359375,0.46464646464646464,159,82,24,46,Symptoms,5
0.5659158269116775,0.30743306239256385,0.21081168383322543,0.3,0.7966804979253111,0.3,0.3,192,49,49,21,Demographics,7
0.5626259632483699,0.3083689623608593,0.22848238108116703,0.38571428571428573,0.7261410788381742,0.2903225806451613,0.3312883435582822,175,66,43,27,Imaging,7
