bootstrap,auc_boot,auc_original,brier_boot,brier_original,calibration_intercept_boot,calibration_intercept_original,calibration_slope_boot,calibration_slope_original
1,0.9930846118084612,0.9779490219324244,0.04063123177655662,0.06099445814852738,-0.19731631642668068,-0.42626283361706413,2.49144364267213,2.1083797458885236
2,0.9953917050691244,0.978067575577949,0.03984206206171647,0.05929212055042049,0.21214278156139832,0.19567651605353514,3.5365876014065645,2.3953040760924535
3,0.9950770825236429,0.9888559573206877,0.044512565818373255,0.0605695204273681,0.31991536314208596,-0.1656600518640216,3.830857221187447,3.1388022695506406
4,0.9967808817110432,0.9797866034380558,0.04146844759150065,0.05632162890877139,0.4486538575673622,0.012675874723941882,3.6905069084236533,2.5820736807285996
5,0.9974099228732589,0.9751630112625963,0.038869401416847416,0.05679778469654312,-0.11261707782328156,0.12210044081628774,4.460468429825681,2.610662126490442
6,0.9960680751173708,0.9689389448725549,0.0340925534274719,0.05633337982567583,-0.18257600505966862,-0.3347382955243978,2.974850576985632,2.0226061071754473
7,0.9952542372881357,0.9781268524007113,0.04161255458368091,0.05670828734527768,-0.1326543810239967,-0.11444746022861177,3.2578394590766244,2.5615587343689667
8,0.9975038402457758,0.9508595139300533,0.024659201986648522,0.05886478842490641,-0.10450633132017575,0.013754737280118133,2.911399222433275,1.566425360683827
9,0.9942442730516865,0.9764078245406046,0.0393480038846467,0.06167295532469849,-0.17935958406642097,-0.34782512738810867,2.81653737422974,2.0920891270852047
10,0.9933233567399563,0.9882631890930647,0.0497551784941875,0.059819531921585095,-0.09658886174733143,-0.16077732374504664,3.60069802877903,3.3282514936396748
11,0.996,0.9739774748073503,0.03663593196503183,0.06162167862948009,-0.14872933187182522,-0.22185769797496707,3.1783044535353704,2.135537297600733
12,0.997364953886693,0.961647895672792,0.030970571969497637,0.05604415751425785,-0.6437536416352462,0.05535489899408802,3.679641849087054,1.8429951199701724
13,0.9939759036144578,0.9864256075874334,0.0433689458321724,0.059686753330344094,-0.12102474429128501,-0.020449359339434377,2.9808470479887577,2.783716947329183
14,0.9986505681818181,0.9625370480142265,0.029850415450442817,0.06038750777536046,0.42192055160573916,0.5509420935512707,5.07302376849791,2.5847624114905043
15,0.9975103734439834,0.9564315352697096,0.03062189003054429,0.058216361258676276,-0.5813167509242892,-0.1612031578191517,3.6846025236839077,1.710854145143057
16,0.9963045912653976,0.9639596917605215,0.03509779899123239,0.05600787095243163,0.09917522569580352,-0.03046837175506999,3.093364965771133,2.031751880977223
17,0.9955837173579108,0.9716656787196206,0.03471763881881577,0.05822907837192242,-0.2374512810948965,-0.07392594688929995,2.878549092555102,2.0162655049464586
18,0.9961149961149961,0.9697095435684648,0.03570677847319968,0.05988281061632542,0.2904042628141616,-0.04403997188352152,3.246539395253725,2.1241206116128555
19,0.9966965285554311,0.9569650266745702,0.033970457268393164,0.05799967254177549,-0.1720102099185491,-0.0611624468260872,3.403096947588042,1.862094363405277
20,0.9968896713615023,0.9624777711914642,0.03181524643290805,0.06266705168152907,0.3048351782477796,-0.3436066261335646,3.128451698460185,1.9101106091097242
21,0.9956886898096304,0.9816241849436871,0.036869789384761265,0.05764093039815341,0.4636406152050894,0.23983618230439727,3.7647351153932402,2.5784532039926296
22,0.9959191605130198,0.954534676941316,0.03289246331018044,0.0593100537661302,-0.40894478908425674,-0.04455752160654322,2.7171823126530947,1.8551538142089816
23,0.9933977455716586,0.9718435091879076,0.04085151089389619,0.057457309256761124,-0.13174609154446087,-0.20867127817794048,2.8494695524982125,2.0376607735168304
24,0.9951076320939335,0.9665085951393005,0.03579392871029379,0.06182326709339365,0.1994320738379097,-0.44718703181643205,2.6749212366212327,1.7508115404466462
25,0.993666129898014,0.9803200948429165,0.047772113879612686,0.06049656167191585,-0.018696736048478005,-0.2617244445181866,3.3819208931447386,2.5902730171207913
26,0.9955985915492958,0.964611736810907,0.03802064016770268,0.05622507195910156,-0.13955444357393224,-0.19770060175949808,3.1731980841241074,2.0930697728280854
27,0.9981291955540883,0.9590397154712508,0.0319728152473503,0.05750188392073941,-0.78630273138246,-0.30540950586900545,4.226194923748752,1.8558176277026488
28,0.9943687018375815,0.9797866034380557,0.04051097229627341,0.06221489598398923,-0.4491674209497087,-0.45498325758165636,2.509536658831613,2.12661437788542
29,0.994188749418875,0.9737403675163011,0.04433290344397381,0.05567759783997125,-0.10921714021807924,-0.024790226865837504,3.3041958804137908,2.5127465557606863
30,0.9966968436505995,0.9772377000592769,0.04398493384253931,0.058938942239012304,-0.5940293767262529,-0.46142520865111014,4.198387033765066,2.721151125553742
31,0.9936520274646975,0.9729697688203912,0.04420633849924587,0.061621205648348394,-0.4277791679679597,-0.2977870343273682,3.0865475257102006,2.2968883003816054
32,0.9916924060070295,0.9801422643746295,0.04367110233704812,0.057941151501334456,0.16726345486204308,0.09082902926358419,2.949841912404309,2.2287530187620477
33,0.9937166567871962,0.9781268524007113,0.04604903543071085,0.05918847781295498,-0.3620954519877931,-0.15884359504971568,3.1502255701084207,2.6142341727495038
34,0.9979591836734694,0.9591582691167754,0.02782256688660927,0.05711972818277725,0.07096452484479396,-0.022185629383490158,4.479259311518614,1.8344849640586205
35,0.9975881261595547,0.9803200948429165,0.03878082726546175,0.058405489438683296,0.6836505415473738,0.2366370516346981,4.844654584266764,2.742524074862043
36,0.9953401113531833,0.9762299940723178,0.04122450256918137,0.05904455450857228,-0.08481560640003064,-0.17763850795051017,3.3879711197577733,2.4542592506731458
37,0.9956709956709957,0.9818612922347362,0.042453605820575224,0.06297788397538341,-0.11933152106346205,-0.6286681976125321,3.4785296942392736,2.582695145788554
38,0.993666129898014,0.9742145820983995,0.04261359409158874,0.05846935196490992,-0.019885942057909455,-0.3268077754461432,2.9496359942707016,2.14327334525635
39,0.9962478818687969,0.9561351511558981,0.032711786052341214,0.05780302496666982,-0.27346707448924534,-0.06695505352604085,3.13423778927799,1.8265898981535196
40,0.9970026914607292,0.9787196206283344,0.04451108619219604,0.056894884836368655,0.33559655217125234,0.6612278717717396,4.141850770831533,3.1642229280604073
41,0.9986876640419947,0.9621221102548904,0.02883323737276429,0.05847197176944846,0.28261808118706033,0.46178884155528077,4.783823471773159,2.060667427430963
42,0.9955834495583449,0.9718435091879075,0.039508645272070764,0.058876853952226596,0.06593790219335909,-0.38141706823029453,3.487203123768092,2.2891984847025304
43,0.9948197264815581,0.9781268524007114,0.04559990512857906,0.05780228378574226,-0.3897261563154519,0.024290097599995338,3.8391555767978613,2.7926124792664306
44,0.9943630869363087,0.9653230586840545,0.039381755879215476,0.061483234459606254,-0.09800248798227279,-0.4205245099225225,2.9929647767793846,2.1354435090290176
