variable,term,label,OR,CI_low,CI_high,p_value,note,fdr_value,OR (95% CI),P,FDR
stone_location,stone_location_gallbladder_body,Stone location,0.492146601964146,0.04369352547197921,5.54334481387144,0.5660830616387733,,0.7190784837033066,0.49 (0.04-5.54),0.566,0.719
stone_number,stone_number_no_stone,Stone number,1.2403508771929834,0.4976573393357678,3.0914249162020346,0.6438856418752309,,0.7809139029399428,1.24 (0.50-3.09),0.644,0.781
alpha_fetoprotein,alpha_fetoprotein,AFP,1.0551853199841181,0.829456121342316,1.3423447375469784,0.6618230835053375,,0.7809139029399428,1.06 (0.83-1.34),0.662,0.781
hypertension,hypertension_1,Hypertension,1.1327231121281456,0.6448380012612197,1.9897426116943615,0.664607576970164,,0.7809139029399428,1.13 (0.64-1.99),0.665,0.781
meal_related_pain,meal_related_pain_1,Meal-related pain,1.1666666666666659,0.4994132775214875,2.7254203529912098,0.7217754711213382,,0.8274011498220218,1.17 (0.50-2.73),0.722,0.827
max_stone_diameter_mm,max_stone_diameter_mm,Max stone diameter,1.0223493494528875,0.7849327677862419,1.331576709779273,0.8697821414245062,,0.9733276344512332,1.02 (0.78-1.33),0.870,0.973
education_level,education_level_high_school,Education level,1.0714285714285765,0.279898380825599,4.101342709762793,0.9197579979850113,,0.9895816744139573,1.07 (0.28-4.10),0.920,0.990
gallbladder_wall_thickening,gallbladder_wall_thickening_1,Gallbladder wall thickening,1.03191489361702,0.5297719987714598,2.0100125150781976,0.9264168866854068,,0.9895816744139573,1.03 (0.53-2.01),0.926,0.990
anxiety_depression,anxiety_depression_1,Anxiety/depression,0.9831932773109252,0.19959885609182787,4.8430589206617,0.9833776791340713,,0.9999999936281934,0.98 (0.20-4.84),0.983,1.000
occupation,occupation_mental_labor,Occupation,0.9925925925925944,0.44356323485840565,2.2211941329722613,0.9855659084274572,,0.9999999936281934,0.99 (0.44-2.22),0.986,1.000
stone_location,stone_location_gallbladder_fundus,Stone location,1.0000000103739564,0.07838929571377762,12.756844051759405,0.9999999936281934,,0.9999999936281934,1.00 (0.08-12.76),1.000,1.000
stone_location,stone_location,Stone location,,,,,math range error,,NA,NA,NA
gallbladder_atrophy,gallbladder_atrophy,Gallbladder atrophy,,,,,math range error,,NA,NA,NA
