auc,average_precision,brier,sensitivity,specificity,precision,f1,tn,fp,fn,tp,calibration_method,calibration_intercept,calibration_slope
0.9114997036158862,0.8283530990741012,0.08120856271386782,0.7142857142857143,0.9543568464730291,0.819672131147541,0.7633587786259542,230,11,20,50,Platt scaling,-0.015570120432925699,1.076909488632871
0.9078541790160047,0.8065023564976438,0.08363434957336421,0.7,0.941908713692946,0.7777777777777778,0.7368421052631579,227,14,21,49,Isotonic calibration,-0.5158481760615954,0.6295013183539961
0.913040901007706,0.8423957881239723,0.08910277643189134,0.7142857142857143,0.946058091286307,0.7936507936507936,0.7518796992481203,228,13,20,50,Raw RF,-0.33948146672413054,1.5849032482347742
