risk_group,n,pcs_n,observed_rate,mean_predicted_risk
Low (<10%),42,2,0.047619047619047616,0.08065843560728056
Intermediate (10-30%),175,8,0.045714285714285714,0.17262358965429264
High (>=30%),94,60,0.6382978723404256,0.6425154201031221
