term,VIF
ggt,1.3724989827496907
ca199,1.1066733855915747
total_bilirubin,1.5919105642633407
total_bile_acid,1.3598668243136982
symptom_duration_medium,1.9585132726322867
symptom_duration_short,2.9065463927631403
symptom_duration_very_short,1.0670153243755254
pain_frequency_monthly,1.910639629561038
pain_frequency_none,1.0323772326274108
pain_frequency_occasional,1.2519784019123184
pain_frequency_weekly,2.7526390052208347
age,1.0883413253744696
