variable,label,level,PCS,No PCS,p_value,P,FDR,fdr_value
stone_location,Stone location,left_intrahepatic_bile_duct,0 (0.0%),1 (0.4%),0.11001829200553784,0.110,0.241,0.24066501376211402
stone_location,Stone location,none,7 (10.0%),19 (7.9%),0.11001829200553784,0.110,0.241,0.24066501376211402
common_bile_duct_diameter_mm,CBD diameter,,6.00 (6.00-7.00),6.00 (5.00-6.00),0.03508599381405726,0.035,0.116,0.11636566289036254
fatty_liver,Fatty liver,0,57 (81.4%),181 (75.1%),0.3369066676959267,0.337,0.502,0.5017758880577632
fatty_liver,Fatty liver,1,13 (18.6%),60 (24.9%),0.3369066676959267,0.337,0.502,0.5017758880577632
gallbladder_atrophy,Gallbladder atrophy,0,70 (100.0%),237 (98.3%),0.578154969037154,0.578,0.710,0.7100148742561541
gallbladder_atrophy,Gallbladder atrophy,1,0 (0.0%),4 (1.7%),0.578154969037154,0.578,0.710,0.7100148742561541
alt,ALT,,138.50 (57.25-269.00),21.00 (15.00-35.00),5.207349983238746e-18,<0.001,<0.001,1.8225724941335612e-16
ast,AST,,76.00 (31.00-191.25),21.00 (17.00-27.00),2.6276578392471657e-16,<0.001,<0.001,4.59840121868254e-15
alp,ALP,,137.50 (100.25-212.75),78.00 (67.00-96.00),1.1731521354194952e-16,<0.001,<0.001,2.737354982645489e-15
ggt,GGT,,234.00 (108.00-382.00),25.00 (17.00-46.00),3.892112073997054e-21,<0.001,<0.001,2.7244784517979377e-19
total_bilirubin,Total bilirubin,,25.90 (13.60-43.65),11.80 (9.10-16.70),5.548294902244467e-12,<0.001,<0.001,6.473010719285212e-11
total_bile_acid,Total bile acid,,5.40 (2.62-41.35),2.20 (1.30-4.80),3.330054556644308e-07,<0.001,<0.001,3.330054556644308e-06
total_cholesterol,Total cholesterol,,4.34 (3.73-4.94),4.58 (4.06-5.34),0.019513805189102163,0.020,0.076,0.07588702017984175
triglyceride,Triglyceride,,1.20 (0.86-1.67),1.27 (0.92-1.85),0.13464475793260755,0.135,0.286,0.2856100925843191
alpha_fetoprotein,AFP,,2.50 (1.95-3.11),2.60 (2.14-3.48),0.21703719145762057,0.217,0.339,0.33942466310089253
ca199,CA19-9,,22.90 (11.80-94.03),6.90 (4.28-13.83),2.9478292250645386e-12,<0.001,<0.001,4.1269609150903545e-11
