auc,average_precision,brier,sensitivity,specificity,precision,f1,tn,fp,fn,tp,threshold,tp_per_100,fp_per_100,fn_per_100,tn_per_100
0.9167160640189685,0.8423597225847882,0.0882096548701494,0.9714285714285714,0.16597510373443983,0.2527881040892193,0.40117994100294985,40,201,2,68,0.1,21.864951768488748,64.63022508038586,0.6430868167202572,12.861736334405144
0.9167160640189685,0.8423597225847882,0.0882096548701494,0.9428571428571428,0.6597510373443983,0.44594594594594594,0.6055045871559633,159,82,4,66,0.2,21.221864951768488,26.366559485530544,1.2861736334405145,51.12540192926045
0.9167160640189685,0.8423597225847882,0.0882096548701494,0.8571428571428571,0.8589211618257261,0.6382978723404256,0.7317073170731707,207,34,10,60,0.3,19.292604501607716,10.932475884244374,3.215434083601286,66.55948553054662
