clinical_group,mean_abs_shap
Laboratory,0.35733402055494295
Symptoms,0.042518016804384266
Demographics,0.02886213999955042
Imaging,0.014705362666372804
Medical history,0.0030219836946445405
Lifestyle,0.002382271418388411
