model,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,oof_weighted_f1,oof_macro_ovr_auc,oof_log_loss
XGBoost,0.391304347826087,0.38045434098065684,0.38110297882593897,0.38671962473629007,0.5285447825819104,1.3359569500872377
Multinomial Logistic,0.391304347826087,0.3815227170490328,0.3805476064299594,0.3900119044876078,0.5649315588381275,2.0713854010142194
Random Forest,0.391304347826087,0.3731443994601889,0.3645977011494253,0.37795102448775614,0.5477093540516633,1.1044448323139961
Gradient Boosting,0.36231884057971014,0.35115834457939715,0.3475599669148057,0.3551192145862553,0.5437355704573167,1.5136979792529863
SVM,0.2463768115942029,0.22542735042735043,0.19672470978441128,0.21393034825870647,0.4452342261603788,1.1396303975619284
